,,,,,,,,,
ID,First Name,Savings Acc,Chequing Acc,SEX,AGE,,,,
9479,Fredrick,117382,23117,F,35,,,,
9480,Irvin,130426,40029,F,32,,,,
9481,Claud,119961,116649,F,53,,,,
9482,Elijah,80131,53685,F,30,,,,
9483,Simon,107215,100551,F,47,,,,
9484,Mike,57390,20892,M,59,,,,
9485,Adam,43380,5309,F,26,,,,
9486,Emmett,86720,129035,F,47,,,,
9487,Jasper,33505,139353,F,32,,,,
9488,Silas,32249,79654,F,37,,,,
9489,Bill,8004,130564,M,25,,,,
9490,Reuben,99353,91015,F,52,,,,
9491,Wilbur,97458,28409,F,22,,,,
9492,Ollie,114400,30045,M,51,,,,
9493,Pete,114001,143373,M,38,,,,
9494,Irving,36931,88100,M,29,,,,
9495,Max,135297,100353,F,25,,,,
9496,Wiley,51272,6179,M,29,,,,
9497,Morris,90736,5018,M,30,,,,
9498,Wilson,125240,37459,F,34,,,,
9499,Moses,90040,91885,F,44,,,,
9500,Rudolph,114701,131125,F,32,,,,
9501,Timothy,115494,141373,F,30,,,,
9502,Ike,21565,106917,F,34,,,,
9503,Jeff,50309,20148,F,52,,,,
9504,Cecil,97733,88484,F,35,,,,
9505,Curtis,82687,23732,F,29,,,,
9506,Ellis,24561,32356,M,36,,,,
9507,Harley,66263,86808,F,22,,,,
9508,Marvin,37389,123175,F,35,,,,
9509,Edmund,36102,547,M,45,,,,
9510,Austin,28677,65667,M,31,,,,
9511,Clayton,22344,89498,M,31,,,,
9512,Nicholas,102057,90106,M,36,,,,
9513,Sherman,37326,65665,M,35,,,,
9514,Christopher,5043,66175,F,31,,,,
9515,Mose,57008,77881,F,56,,,,
9516,Ora,52928,12361,M,23,,,,
9517,Abraham,59459,107157,M,27,,,,
9518,Eli,22715,73060,M,24,,,,
9519,Sylvester,85890,140011,M,48,,,,
9520,Dock,74179,106152,F,25,,,,
9521,Steve,31345,8622,F,39,,,,
9522,Augustus,115440,129204,M,39,,,,
9523,Cleve,123863,39992,M,36,,,,
9524,Anton,104262,78593,F,43,,,,
9525,Harrison,46727,22192,M,52,,,,
9526,Logan,47848,3742,M,26,,,,
9527,Alva,128615,104961,F,28,,,,
9528,Barney,83924,143006,F,33,,,,
9529,Blaine,113683,134601,F,53,,,,
9530,Pearl,104376,37808,M,39,,,,
9531,Glenn,17369,132402,F,37,,,,
9532,Hubert,55364,61884,M,40,,,,
9533,Solomon,22328,22979,F,34,,,,
9534,Donald,141682,118930,M,37,,,,
9535,Gustave,130443,35402,M,46,,,,
9536,Byron,105334,22041,F,26,,,,
9537,Chris,91541,121986,M,26,,,,
9538,Marcus,10793,21291,F,24,,,,
9539,Joel,32295,43967,M,31,,,,
9540,Juan,53660,9117,F,35,,,,
9541,Millard,103029,91229,F,48,,,,
9542,Monroe,114220,137730,M,25,,,,
9543,Nathaniel,15415,101851,M,32,,,,
9544,Scott,11059,71106,F,28,,,,
9545,Andy,77283,3062,M,29,,,,
9546,Clark,35357,61411,M,32,,,,
9547,Ferdinand,71954,87095,M,49,,,,
9548,Matt,43257,80887,M,30,,,,
9549,Christian,93918,38618,F,42,,,,
9550,Lon,137738,127369,M,22,,,,
9551,Mathew,136447,83999,M,30,,,,
9552,Orville,8863,124690,F,44,,,,
9553,Bennie,95225,112443,M,35,,,,
9554,Emery,2698,75458,F,52,,,,
9555,Ervin,20491,37108,F,48,,,,
9556,Vincent,118696,48753,F,29,,,,
9557,Wade,3397,122748,F,29,,,,
9558,Bob,109461,58045,F,33,,,,
9559,Columbus,19000,116663,M,44,,,,
9560,Edd,121478,117103,M,24,,,,
9561,Vernon,8939,95859,M,27,,,,
9562,Arnold,133699,97203,M,27,,,,
9563,Conrad,45033,143868,F,39,,,,
9564,Preston,44544,50374,F,33,,,,
9565,Anderson,2225,68512,M,40,,,,
9566,Elias,139805,141302,F,26,,,,
9567,Julian,145861,99292,F,52,,,,
9568,Nick,65771,58567,M,35,,,,
9569,Don,47441,33020,F,25,,,,
9570,Glen,133623,26599,F,38,,,,
9571,Riley,35000,54876,M,48,,,,
9572,Delbert,142384,46060,M,49,,,,
9573,Johnnie,120041,115193,F,33,,,,
9574,Abe,56394,89901,M,34,,,,
9575,Emanuel,13621,118051,M,34,,,,
9576,Louie,48715,80559,M,34,,,,
9577,Arch,125172,83911,F,40,,,,
9578,Asa,119838,133603,F,27,,,,
9579,Edmond,77282,100996,M,50,,,,
9580,Ezra,107427,41053,F,50,,,,
9581,Roland,46267,34720,M,28,,,,
9582,Bud,116196,106965,F,21,,,,
9583,Grant,69433,95015,M,23,,,,
9584,Joshua,54129,138279,F,23,,,,
9585,Newton,49459,103198,M,44,,,,
9586,Tony,20701,25998,F,24,,,,
9587,Bruce,17558,68852,M,29,,,,
9588,Clifton,85395,92208,M,36,,,,
9589,Chas,16501,128433,F,25,,,,
9590,Elisha,53461,94994,M,30,,,,
9591,Gordon,123684,127562,F,40,,,,
9592,Jefferson,127286,128175,M,36,,,,
9593,Luke,13524,141613,M,31,,,,
9594,Miles,58015,80052,M,26,,,,
9595,Roger,82876,24933,M,29,,,,
9596,Burton,107504,105419,F,41,,,,
9597,Earle,137197,103963,M,41,,,,
9598,Emory,16608,33401,F,41,,,,
9599,Jeremiah,63623,112047,M,33,,,,
9600,Van,22031,109682,F,29,,,,
9601,Ward,50219,115713,M,30,,,,
9602,Cyrus,49877,63703,M,24,,,,
9603,Dick,57090,64704,M,30,,,,
9604,Jerome,88617,123345,M,30,,,,
9605,Lyman,131352,64668,F,55,,,,
9606,Ambrose,123390,38587,M,45,,,,
9607,Douglas,232,23892,M,25,,,,
9608,Forrest,99174,107315,M,35,,,,
9609,Gustav,9594,78391,M,25,,,,
9610,Major,134604,53938,M,42,,,,
9611,Mary,105317,105371,F,31,,,,
9612,Neal,27910,124426,F,44,,,,
9613,Jonas,56269,74557,M,44,,,,
9614,Antonio,39429,83170,M,34,,,,
9615,Irwin,102113,103071,M,39,,,,
9616,Karl,48283,105129,M,29,,,,
9617,Mitchell,5482,133219,F,55,,,,
9618,Wayne,37445,80266,M,37,,,,
9619,Abner,75269,132867,M,33,,,,
9620,Forest,44335,31301,F,37,,,,
9621,Jackson,145526,39072,F,49,,,,
9622,Morgan,100451,90520,M,25,,,,
9623,Wilfred,74170,11951,M,45,,,,
9624,Benjiman,10944,5100,F,23,,,,
9625,Clay,84279,123603,F,47,,,,
9626,Clem,45361,35024,F,24,,,,
9627,Nels,123311,108934,M,36,,,,
9628,Omer,18467,2699,M,36,,,,
9629,Royal,76587,127712,F,34,,,,
9630,Sanford,75053,55449,M,53,,,,
9631,Spencer,71709,53179,F,32,,,,
9632,Green,27534,16363,F,50,,,,
9633,Lemuel,109193,28881,F,41,,,,
9634,Lucius,90109,17915,F,27,,,,
9635,Winfield,44688,39696,F,34,,,,
9636,Allan,60759,95503,F,24,,,,
9637,Enoch,70477,87322,F,28,,,,
9638,Garfield,66415,8764,F,22,,,,
9639,Lorenzo,46728,62091,F,25,,,,
9640,Loyd,139328,112151,F,29,,,,
9641,Ole,85348,116807,M,35,,,,
9642,Pedro,47880,104088,M,29,,,,
9643,Abram,67862,33030,F,51,,,,
9644,Archibald,92477,100697,M,57,,,,
9645,Berry,79364,51588,F,39,,,,
9646,Burt,84543,29508,F,27,,,,
9647,Kenneth,26165,124500,M,34,,,,
9648,Washington,82541,113995,M,35,,,,
9649,Zack,82116,29887,F,32,,,,
9650,Emile,133955,84248,F,31,,,,
9651,Johnie,141718,66456,M,24,,,,
9652,Napoleon,39396,92506,M,26,,,,
9653,Ruben,6423,135702,M,26,,,,
9654,Dee,66413,97626,M,49,,,,
9655,Fletcher,57546,94914,M,30,,,,
9656,Granville,41306,121766,F,43,,,,
9657,Isom,41111,1189,M,58,,,,
9658,Ivan,1117,14957,F,46,,,,
9659,Josh,45912,46032,F,36,,,,
9660,Lafayette,87580,21859,F,29,,,,
9661,Lynn,144783,41178,F,35,,,,
9662,Allie,17112,64177,M,36,,,,
9663,Dudley,35896,136631,M,51,,,,
9664,Elwood,115035,16242,M,30,,,,
9665,Frederic,99534,89221,F,23,,,,
9666,Hans,89384,130744,F,27,,,,
9667,Jimmie,79336,19466,M,24,,,,
9668,Pat,59730,116629,M,48,,,,
9669,Wilbert,78808,30354,M,44,,,,
9670,Emmet,37956,138757,F,39,,,,
9671,General,137564,80861,F,27,,,,
9672,Hal,111903,53807,F,48,,,,
9673,Israel,39869,68063,F,29,,,,
9674,Jason,83098,114782,F,39,,,,
9675,Jean,65475,96101,M,31,,,,
9676,Jordan,119881,110189,F,42,,,,
9677,King,38421,68236,F,29,,,,
9678,Boyd,61520,90799,M,38,,,,
9679,Carey,123692,133395,F,23,,,,
9680,Carroll,92088,52821,F,41,,,,
9681,Elza,89914,113213,F,37,,,,
9682,Freeman,90072,22277,M,36,,,,
9683,Isiah,3386,112718,F,23,,,,
9684,Laurence,16072,53505,M,29,,,,
9685,Ned,117180,942,F,38,,,,
9686,Oren,56827,6020,F,39,,,,
9687,Francisco,88643,75494,F,24,,,,
9688,Isaiah,120366,114866,M,38,,,,
9689,Neil,86765,137477,F,46,,,,
9690,Sim,105443,34048,M,46,,,,
9691,Ulysses,53167,139586,M,43,,,,
9692,Wilber,132946,144823,F,29,,,,
9693,Arther,31521,27388,M,35,,,,
9694,Clement,66132,131467,F,36,,,,
9695,Elliott,126396,90878,M,23,,,,
9696,Evan,80451,30364,F,23,,,,
9697,Josiah,17434,106092,M,34,,,,
9698,Milo,77838,106208,M,39,,,,
9699,Myron,78173,51621,M,29,,,,
9700,Olin,67860,54684,M,27,,,,
9701,Porter,102872,107049,M,31,,,,
9702,Warner,80653,42922,M,24,,,,
9703,Wm,17561,48901,F,35,,,,
9704,Chauncey,18382,98484,M,29,,,,
9705,Dwight,106411,49593,M,34,,,,
9706,Gabriel,107048,33322,M,27,,,,
9707,Harmon,106209,44402,F,46,,,,
9708,Herschel,49985,95395,F,49,,,,
9709,Jonathan,40038,32685,M,30,,,,
9710,Judge,50939,126180,F,24,,,,
9711,Leander,63365,102828,M,58,,,,
9712,Rollie,85007,116886,F,54,,,,
9713,Seth,98416,99863,M,23,,,,
9714,Stewart,126592,48128,M,29,,,,
9715,Taylor,37342,62507,M,24,,,,
9716,Tommie,44743,79404,F,26,,,,
9717,Alphonse,118573,20725,M,28,,,,
9718,Anna,113210,21052,F,33,,,,
9719,Carlton,75092,53237,M,31,,,,
9720,Dewitt,19733,17762,F,38,,,,
9721,Fay,75611,38833,M,35,,,,
9722,Foster,48861,39223,F,26,,,,
9723,Gust,136361,77674,F,34,,,,
9724,Harris,19130,10627,M,42,,,,
9725,Lucian,141347,62646,F,38,,,,
9726,Lucious,63437,6544,F,41,,,,
9727,Madison,30162,63035,M,30,,,,
9728,Olaf,25732,70278,F,33,,,,
9729,Pink,27365,30426,M,46,,,,
9730,Raleigh,48679,99590,M,29,,,,
9731,Sterling,62517,54297,F,22,,,,
9732,Steven,97458,9153,F,25,,,,
9733,Vern,37362,50173,F,24,,,,
9734,Clarance,108876,7594,F,41,,,,
9735,Dallas,44603,43184,F,37,,,,
9736,Enos,31104,87787,F,32,,,,
9737,Gerald,128022,76331,M,29,,,,
9738,Hardy,56583,61833,M,43,,,,
9739,Hosea,22493,74913,M,32,,,,
9740,Judson,86238,94146,F,28,,,,
9741,Loren,132355,94876,F,33,,,,
9742,Merle,59856,20585,M,42,,,,
9743,Orin,60214,64502,F,27,,,,
9744,Phil,55168,56281,M,24,,,,
9745,Sid,144498,112716,M,27,,,,
9746,Simeon,117674,86064,F,32,,,,
9747,Sol,1524,121105,F,52,,,,
9748,Walker,140455,10083,M,43,,,,
9749,Wash,29261,141511,M,34,,,,
9750,West,29439,54938,M,60,,,,
9751,Al,89871,11210,F,30,,,,
9752,Aubrey,139450,126425,F,32,,,,
9753,Benton,44245,52989,M,25,,,,
9754,Billie,71633,37830,M,30,,,,
9755,Clint,136324,30461,F,37,,,,
9756,Ephriam,127836,7454,M,31,,,,
9757,Florence,22904,126194,F,49,,,,
9758,Hamilton,10872,100355,F,27,,,,
9759,Larry,91673,8733,F,28,,,,
9760,Malcolm,106846,82230,F,45,,,,
9761,Noble,3092,61342,F,29,,,,
9762,Norris,91375,118859,F,33,,,,
9763,Rollin,143433,103822,F,26,,,,
9764,Smith,1566,130420,M,46,,,,
9765,Tomas,68830,111283,M,50,,,,
9766,Valentine,74789,58011,F,32,,,,
9767,Wilmer,130305,53301,F,49,,,,
9768,Addison,129703,27088,F,50,,,,
9769,Adelbert,143238,71057,F,61,,,,
9770,Adolphus,64639,94326,F,35,,,,
9771,Alford,138296,108847,F,37,,,,
9772,Caleb,83244,102188,F,30,,,,
9773,Erwin,17569,43957,M,39,,,,
9774,Henderson,143754,64628,F,44,,,,
9775,Hugo,120971,27421,F,36,,,,
9776,Jules,28281,145738,M,42,,,,
9777,Lafe,31670,83236,F,53,,,,
9778,Lum,84995,38066,M,42,,,,
9779,Mat,10018,26321,F,33,,,,
9780,Micheal,64763,115141,F,25,,,,
9781,Murray,117579,44191,M,42,,,,
9782,Otho,91905,30050,F,34,,,,
9783,Prince,34143,24785,M,42,,,,
9784,Randolph,113898,104347,M,34,,,,
9785,Rolland,112793,118590,F,24,,,,
9786,Alton,880,105350,F,25,,,,
9787,Avery,44898,31141,F,32,,,,
9788,Axel,142615,35954,F,34,,,,
9789,Bertram,145105,58155,M,36,,,,
9790,Dell,85191,101463,F,33,,,,
9791,Elizabeth,115672,11295,F,23,,,,
9792,Elzie,41451,89629,F,60,,,,
9793,Frances,29696,60264,F,28,,,,
9794,Fritz,53605,68031,M,29,,,,
9795,Haywood,69456,143356,F,24,,,,
9796,Issac,108080,58537,M,40,,,,
9797,Junius,40878,85044,M,40,,,,
9798,Merton,17752,139193,M,34,,,,
9799,Minor,8102,21122,M,23,,,,
9800,Orval,132945,129349,M,23,,,,
9801,Reginald,83259,110589,F,23,,,,
9802,Shelby,109843,42320,F,27,,,,
9803,Tim,20877,8776,M,22,,,,
9804,Webster,1706,78338,F,42,,,,
9805,Wilford,132809,36362,M,32,,,,
9806,Angus,114550,82061,F,35,,,,
9807,Arlie,56167,82011,F,36,,,,
9808,Beverly,80118,11753,F,31,,,,
9809,Christ,139142,49516,F,32,,,,
9810,Dorsey,115778,108292,M,27,,,,
9811,Emerson,98937,25959,M,33,,,,
9812,Fate,52174,15167,F,49,,,,
9813,Garrett,920,34493,M,32,,,,
9814,Harve,42322,16451,F,53,,,,
9815,Houston,77394,113757,M,26,,,,
9816,Johnny,33631,21409,M,35,,,,
9817,Lew,95697,61073,M,53,,,,
9818,Pierce,28700,42387,F,28,,,,
9819,Rupert,33225,88765,F,41,,,,
9820,Truman,44169,13485,F,26,,,,
9821,Winfred,66446,87753,F,26,,,,
9822,Abel,35776,129746,F,23,,,,
9823,Bascom,107798,74905,F,49,,,,
9824,Casper,69621,43394,F,48,,,,
9825,Coleman,125715,103864,M,46,,,,
9826,Early,47016,37941,F,51,,,,
9827,Elton,80595,2745,F,28,,,,
9828,Elvin,45750,91723,M,54,,,,
9829,Ernst,51812,19497,M,24,,,,
9830,Giles,60998,32347,F,56,,,,
9831,Harlan,55411,94471,F,54,,,,
9832,Leland,46182,67369,M,26,,,,
9833,Lonzo,8785,48388,M,67,,,,
9834,Luis,96369,142208,F,41,,,,
9835,Mason,55787,19390,F,42,,,,
9836,Mervin,93657,29020,F,32,,,,
9837,Rolla,13171,138150,F,46,,,,
9838,Albin,105180,44801,M,30,,,,
9839,Bennett,81693,81888,M,29,,,,
9840,Bertie,54900,23760,F,52,,,,
9841,Buck,98704,85194,F,23,,,,
9842,Carlos,101750,24189,F,41,,,,
9843,Carson,951,63804,M,25,,,,
9844,Carter,83548,73723,M,45,,,,
9845,Clair,69292,46878,F,36,,,,
9846,Cliff,16712,104153,M,43,,,,
9847,Dean,89783,79182,M,27,,,,
9848,Ezekiel,134214,116010,F,46,,,,
9849,Guss,38702,69837,M,27,,,,
9850,Johnson,47773,103647,M,25,,,,
9851,Jones,52085,99099,M,50,,,,
9852,Lige,70725,113375,M,52,,,,
9853,Mathias,84611,4972,F,25,,,,
9854,Orange,5674,109709,F,45,,,,
9855,Orrin,144496,33942,F,32,,,,
9856,Oswald,87340,6177,F,44,,,,
9857,Ramon,106197,90208,F,28,,,,
9858,Rex,124571,26260,M,50,,,,
9859,Rodney,1082,33437,F,38,,,,
9860,Simpson,51272,13865,M,28,,,,
9861,Sydney,59054,87157,F,25,,,,
9862,Vance,137662,108938,M,58,,,,
9863,Wilburn,2672,64169,F,30,,,,
9864,Wyatt,129275,53505,F,47,,,,
9865,Alpha,87119,100395,M,25,,,,
9866,Burley,22226,59807,F,50,,,,
9867,Clara,78980,113191,M,44,,,,
9868,Cloyd,102492,56938,M,40,,,,
9869,Doctor,120366,74254,F,38,,,,
9870,Ellsworth,90687,25432,F,28,,,,
9871,Elmo,84427,97178,M,37,,,,
9872,Ephraim,83990,86177,M,43,,,,
9873,Eric,111983,76752,F,23,,,,
9874,Garland,4168,114010,M,48,,,,
9875,Henery,138965,29276,F,25,,,,
9876,Howell,3055,563,M,34,,,,
9877,Ivory,136019,41711,M,29,,,,
9878,Lem,98693,75811,F,35,,,,
9879,Lyle,68247,95478,F,35,,,,
9880,Mahlon,77445,17264,M,26,,,,
9881,Noel,111244,74647,F,23,,,,
9882,Orlando,32867,54895,M,29,,,,
9883,Ransom,90472,126005,M,47,,,,
9884,Rube,83631,49088,F,41,,,,
9885,Squire,130318,84237,M,26,,,,
9886,Thaddeus,22359,51035,M,30,,,,
9887,Vivian,54417,67557,M,42,,,,
9888,Aloysius,96819,131545,M,41,,,,
9889,Alvah,75368,117997,F,38,,,,
9890,Aron,63362,10009,F,45,,,,
9891,Bart,5385,29836,F,42,,,,
9892,Basil,58664,73733,F,32,,,,
9893,Bishop,133158,39389,F,25,,,,
9894,Burr,84057,121058,F,53,,,,
9895,Buster,107259,667,M,42,,,,
9896,Cicero,39123,88758,F,36,,,,
9897,Dana,10458,124435,F,33,,,,
9898,Davis,65943,123633,F,34,,,,
9899,Dexter,112229,54067,F,42,,,,
9900,Elmore,17104,37156,M,34,,,,
9901,Gene,47660,138608,F,39,,,,
9902,Gustaf,4218,18611,M,28,,,,
9903,Heber,61067,21970,F,25,,,,
9904,Hector,57151,8058,M,36,,,,
9905,Jesus,64035,113660,F,38,,,,
9906,Jonah,66842,5894,F,39,,,,
9907,Lawson,22507,118872,M,45,,,,
9908,Lucien,106169,37884,F,42,,,,
9909,Marcellus,50246,129506,M,35,,,,
9910,Melville,117801,41060,F,44,,,,
9911,Merrill,71608,52688,F,30,,,,
9912,Milford,71187,17643,M,42,,,,
9913,Morton,83083,54602,M,44,,,,
9914,Odie,107358,26911,F,39,,,,
9915,Oral,94881,117994,F,37,,,,
9916,Pierre,120843,17489,M,24,,,,
9917,Randall,53155,51728,F,27,,,,
9918,Richmond,38792,128211,M,40,,,,
9919,Ronald,35190,80016,M,53,,,,
9920,Sandy,37618,104359,F,41,,,,
9921,Shirley,118600,64033,F,34,,,,
9922,Stuart,93936,137054,F,38,,,,
9923,Tracy,25110,93122,F,38,,,,
9924,Troy,56667,30470,M,22,,,,
9925,Watson,56515,34174,F,37,,,,
9926,Wendell,109789,75525,M,32,,,,
9927,Willam,33558,40895,M,29,,,,
9928,Williams,81174,122288,F,38,,,,
9929,Young,91684,117064,F,48,,,,
9930,Zeb,78803,54513,M,32,,,,
9931,Angelo,122488,99164,F,36,,,,
9932,Anson,114553,46614,F,32,,,,
9933,Art,40751,141413,M,22,,,,
9934,Artie,55896,141384,M,31,,,,
9935,Asbury,114301,143190,F,25,,,,
9936,Augustine,68824,78953,F,38,,,,
9937,Benjamine,54218,74278,F,48,,,,
9938,Buford,49039,12554,M,29,,,,
9939,Clare,92485,139662,M,25,,,,
9940,Crawford,48963,133464,M,30,,,,
9941,Dale,82643,15059,M,51,,,,
9942,Doc,97840,110536,M,22,,,,
9943,Dolphus,45994,5137,M,40,,,,
9944,Duncan,23059,31355,M,33,,,,
9945,Eben,3559,62086,M,33,,,,
9946,Emmitt,100286,36584,M,35,,,,
9947,Erastus,32182,25565,M,26,,,,
9948,Ethan,140090,133610,M,29,,,,
9949,Evert,106185,130639,F,34,,,,
9950,Fernando,7586,110663,M,25,,,,
9951,Finley,72293,114457,F,28,,,,
9952,Grace,123225,71369,F,24,,,,
9953,Hampton,90413,110010,M,37,,,,
9954,Hollis,16436,97571,M,54,,,,
9955,Hudson,9642,535,F,29,,,,
9956,Joesph,46480,5812,F,32,,,,
9957,June,103374,32289,F,46,,,,
9958,Kelly,14869,74088,F,33,,,,
9959,Len,122781,108217,M,33,,,,
9960,Lenard,24250,131943,F,50,,,,
9961,Linus,122233,34745,F,27,,,,
9962,Lou,10041,54017,M,27,,,,
9963,Margaret,42907,34216,M,55,,,,
9964,Mortimer,96635,39987,M,29,,,,
9965,Reese,8152,105965,M,29,,,,
9966,Rush,112475,22409,M,25,,,,
9967,Sampson,46247,58463,M,33,,,,
9968,Seymour,73270,94306,F,24,,,,
9969,Solon,55267,85115,F,26,,,,
9970,Ted,66776,38757,F,45,,,,
9971,Terry,62606,82463,F,30,,,,
9972,Theadore,121215,45511,F,38,,,,
9973,Tillman,64187,52989,M,39,,,,
9974,Toney,875,64780,M,34,,,,
9975,Travis,44005,46289,M,27,,,,
9976,Turner,21522,137142,F,41,,,,
9977,Wellington,136934,24595,F,32,,,,
9978,Wheeler,131310,12361,M,34,,,,
9979,Willian,77750,38634,F,46,,,,
9980,Wylie,92822,134134,M,38,,,,
9981,Adrian,104509,140404,F,30,,,,
9982,Alan,54216,84626,M,44,,,,
9983,Alois,139142,80453,F,54,,,,
9984,Bartholomew,140010,3546,M,41,,,,
9985,Benjamen,18517,139843,M,37,,,,
9986,Bertrand,94356,80330,F,27,,,,
9987,Burl,75016,54976,F,37,,,,
9988,Cary,35432,14671,M,27,,,,
9989,Colonel,129329,12669,F,33,,,,
9990,Connie,5470,91223,M,28,,,,
9991,Cora,135864,21015,F,45,,,,
9992,Cornelious,25106,128528,M,47,,,,
9993,Emma,31897,41704,M,31,,,,
9994,Ennis,63459,3671,M,29,,,,
9995,Gideon,63291,80752,F,30,,,,
9996,Godfrey,124530,107614,M,31,,,,
9997,Hezekiah,70353,28385,M,37,,,,
9998,Jens,56069,116651,F,44,,,,
9999,Julious,106070,112261,M,26,,,,
10000,Lindsay,46045,23338,M,36,,,,
10001,Lindsey,143247,118854,F,40,,,,
10002,Ludwig,111900,5036,M,28,,,,
10003,Manley,12686,24562,M,35,,,,
10004,Merritt,62022,139412,F,39,,,,
10005,Miguel,30014,31537,M,45,,,,
10006,Nellie,85819,137700,M,36,,,,
10007,Oakley,135570,48472,F,35,,,,
10008,Obie,10547,106393,F,38,,,,
10009,Octave,110400,9456,M,48,,,,
10010,Okey,83482,74922,M,23,,,,
10011,Ottis,36742,120138,M,26,,,,
10012,Pablo,6361,132028,F,29,,,,
10013,Parker,19427,37198,M,35,,,,
10014,Reed,39065,127402,F,58,,,,
10015,Rich,27282,65737,F,35,,,,
10016,Rubin,19321,46875,M,30,,,,
10017,Sanders,28415,30841,M,37,,,,
10018,Whitney,114142,130740,F,47,,,,
10019,Addie,78909,19463,M,43,,,,
10020,Almon,20833,101628,M,26,,,,
10021,Alphonso,102384,125717,F,43,,,,
10022,Alvie,73817,108451,F,32,,,,
10023,Ammon,97302,15807,F,41,,,,
10024,Arlington,104450,116185,M,39,,,,
10025,Barry,100850,40376,F,46,,,,
10026,Barton,83521,75128,M,24,,,,
10027,Baxter,47732,131948,M,32,,,,
10028,Bertha,98363,103836,M,33,,,,
10029,Byrd,109245,106758,F,42,,,,
10030,Callie,51713,120186,F,30,,,,
10031,Creed,90280,131321,M,32,,,,
10032,Donaciano,123477,108835,F,41,,,,
10033,Drew,82831,29849,F,27,,,,
10034,Festus,93580,73131,M,41,,,,
10035,Finis,7064,24705,M,53,,,,
10036,Freddie,100777,113984,M,26,,,,
10037,Furman,90777,123344,F,37,,,,
10038,Hamp,54393,58790,F,30,,,,
10039,Harlow,140123,123653,F,31,,,,
10040,Hayward,95664,7053,M,27,,,,
10041,Hershel,14612,65601,M,43,,,,
10042,Hoyt,53612,84541,M,39,,,,
10043,Huston,129431,130570,F,24,,,,
10044,Hyrum,58296,139785,F,50,,,,
10045,Ida,112496,71217,F,44,,,,
10046,Irven,31852,18634,F,39,,,,
10047,Isadore,115017,94545,F,31,,,,
10048,Ivy,23587,40138,F,46,,,,
10049,Kirk,72136,27437,M,28,,,,
10050,Lambert,119820,13652,M,30,,,,
10051,Lonie,5631,90006,M,27,,,,
10052,Loran,91972,16504,F,24,,,,
10053,Love,110630,136477,F,26,,,,
10054,Mannie,121500,125871,M,38,,,,
10055,Maxwell,22583,132519,F,26,,,,
10056,Mont,18104,2345,M,35,,,,
10057,Nat,125199,31468,M,43,,,,
10058,Newell,121316,110612,M,61,,,,
10059,Ola,92652,27290,M,23,,,,
10060,Oran,144462,47559,F,26,,,,
10061,Paris,23833,128288,F,37,,,,
10062,Perley,11420,89743,F,61,,,,
10063,Pinkney,99582,94928,M,31,,,,
10064,Rosco,27026,102807,F,59,,,,
10065,Santiago,128210,102361,F,28,,,,
10066,Son,129254,100131,M,27,,,,
10067,Sumner,116396,51882,F,34,,,,
10068,Theron,141630,145244,F,42,,,,
10069,Thurman,72997,43247,M,31,,,,
10070,Tobe,18041,70842,F,36,,,,
10071,Tobias,1061,74531,M,56,,,,
10072,Tollie,101747,27391,M,36,,,,
10073,Verne,104679,86771,M,33,,,,
10074,Vester,46791,124419,M,29,,,,
10075,Vollie,9840,66581,M,31,,,,
10076,Webb,76034,120855,F,34,,,,
10077,Wilton,41803,98404,M,43,,,,
10078,Woodie,40016,66107,F,40,,,,
10079,Woodson,51095,73862,M,28,,,,
10080,Woody,114629,94813,F,37,,,,
10081,Wright,143306,5827,F,53,,,,
10082,Adelard,715,73210,M,44,,,,
10083,Albion,112494,54626,M,29,,,,
10084,Alcide,74103,84810,M,23,,,,
10085,Alec,65177,48709,F,35,,,,
10086,Alf,97347,25918,M,31,,,,
10087,Allison,1861,14162,M,28,,,,
10088,Alonza,26053,134591,F,31,,,,
10089,Antone,6903,31671,M,47,,,,
10090,Archer,145349,130130,M,41,,,,
10091,Asberry,139003,67273,M,26,,,,
10092,Auther,35053,130626,M,39,,,,
10093,Benjaman,35018,109452,M,43,,,,
10094,Bernhard,52674,73604,F,40,,,,
10095,Berton,106652,118569,F,31,,,,
10096,Billy,2502,99511,F,26,,,,
10097,Bird,1713,143585,F,24,,,,
10098,Bonnie,117943,7716,M,33,,,,
10099,Bruno,72705,36287,F,30,,,,
10100,Budd,101517,142391,F,28,,,,
10101,Cameron,15600,83153,F,63,,,,
10102,Catherine,123328,134513,F,31,,,,
10103,Chancy,113088,43137,F,42,,,,
10104,Collie,932,35802,F,40,,,,
10105,Commodore,98971,83862,M,51,,,,
10106,Curley,47839,77292,M,23,,,,
10107,Curt,92916,138943,F,41,,,,
10108,Danial,7317,106522,F,37,,,,
10109,Domingo,65253,36631,M,24,,,,
10110,Ebenezer,45084,94087,M,44,,,,
10111,Egbert,39742,25961,M,47,,,,
10112,Elder,105069,62820,M,28,,,,
10113,Elie,114560,143921,M,31,,,,
10114,Eliga,91584,16465,F,42,,,,
10115,Ellwood,55319,65617,M,29,,,,
10116,Emilio,124429,62850,F,24,,,,
10117,Emmit,11107,34433,M,48,,,,
10118,Ethel,120808,89745,M,29,,,,
10119,Ewald,57603,80342,F,44,,,,
10120,Fayette,66469,16759,M,26,,,,
10121,French,35196,91586,M,48,,,,
10122,Gardner,89620,109710,M,26,,,,
10123,Gaston,125186,103681,M,23,,,,
10124,Griffin,53760,118976,M,33,,,,
